COMPANY,SYMBOL,Twitter Handle,Industry
Walmart,WMT,walmart,Retail
Exxon Mobil,XOM,exxonmobil,Energy
Apple,AAPL,Apple,Technology
Berkshire Hathaway,BRK.B,BHHSRealEstate,Financials
McKesson,MCK,McKesson,Health Care
UnitedHealth Group,UNH,UnitedHealthGrp,Health Care
CVS Health,CVS,CVSHealth,Health Care
General Motors,GM,GM,Motor Vehicle and Parts
Ford Motor,F,Ford,Motor Vehicle and Parts
AT&T,T,ATT,Telecommunications
General Electric,GE,generalelectric,Industrials
AmerisourceBergen,ABC,Healthcare_ABC,Health Care
Verizon,VZ,verizon,Telecommunications
Chevron,CVX,Chevron,Energy
Costco,COST,Costco,Retail
Fannie Mae,FNMA,FannieMae,Financials
Kroger,KR,Kroeger,Food and Drugs
Amazon.com,AMZN,amazon,Retail
Walgreens,WAG,Walgreens,Food and Drugs
HP,HPQ,HP,Technology
Cardinal Health,CAH,cardinalhealth,Health Care
Express Scripts Holding,ESRX,ExpressScripts,Health Care
J.P. Morgan Chase,JPM,jpmorgan,Financials
Boeing,BA,Boeing,AeroSpace and Defense
Microsoft,MSFT,Microsoft,Technology
Bank of America Corp.,BAC,BankofAmerica,Financials
Wells Fargo,WFC,WellsFargo,Financials
Home Depot,HD,HomeDepot,Retail
Citigroup,C,Citi,Financials
Phillips 66,PSX,Phillips66Co,Energy
IBM,IBM,IBM,Technology
Valero Energy,VLO,ValeroEnergy,Energy
Anthem,ANTM,AnthemInc,Health Care
Procter & Gamble,PG,ProcterGamble,Household Products
State Farm Insurance Cos.,STFGX,StateFarm,Financials
Alphabet,GOOGL,google,Technology
Comcast,CMCSA,comcast,Telecommunications
Target,TGT,Target,Retail
Johnson & Johnson,JNJ,JNJNews,Health Care
MetLife,MET,MetLife,Financials
Archer Daniels Midland,ADM,ADMupdates,Food and Beverage
Marathon Petroleum,MPC,MarathonPetroCo,Energy
Freddie Mac,FMCC,FreddieMac,Financials
PepsiCo,PEP,PepsiCo,Food and Beverage
United Technologies,UTX,UTC,AeroSpace and Defense
Aetna,AET,aetna,Health Care
Lowe's,LOW,Lowes,Retail
UPS,UPS,UPS,Transportation
AIG,AIG,AIGinsurance,Financials
Prudential Financial,PRU,Prudential,Financials
Intel,INTC,intel,Technology
Humana,HUM,Humana,Health Care
Disney,DIS,Disney,Media
Cisco Systems,CSCO,Cisco,Technology
Pfizer,PFE,pfizer,Health Care
Dow Chemical,DOW,DowChemical,Industrials
Sysco,SYY,Sysco,Wholesalers
FedEx,FDX,FedEx,Transportation
Caterpillar,CAT,CaterpillarInc,Industrials
Lockheed Martin,LMT,LockheedMartin,AeroSpace and Defense
Coca-Cola,KO,CocaCola,Food and Beverage
HCA Holdings,HCA,HCAhealthcare,Health Care
Ingram Micro,IM,IngramMicroInc,Wholesalers
Energy Transfer Equity,ETE,EnergyTransfer,Energy
Tyson Foods,TSN,TysonFoods,Food and Beverage
American Airlines Group,AAL,AmericanAir,Transportation
Delta Air Lines,DAL,Delta,Transportation
Nationwide,NFS,Nationwide,Financials
Johnson Controls,JCI,johnsoncontrols,Transportation
Best Buy,BBY,BestBuy,Retail
Merck,MRK,Merck,Health Care
Goldman Sachs Group,GS,GoldmanSachs,Financials
Honeywell International,HON,honeywell,Industrials
Oracle,ORCL,Oracle,Technology
Morgan Stanley,MS,MorganStanley,Financials
Cigna,CI,Cigna,Health Care
United Continental Holdings,UAL,united,Transportation
Allstate,ALL,allstate,Financials
TIAA,TIBLX,TIAA,Financials
INTL FCStone,INTL,INTLFCStone,Financials
CHS,CHS,CHSAgServices,Food and Beverage
American Express,AXP,americanexpress,Financials
Gilead Sciences,GILD,GileadSciences,Health Care
General Dynamics,GD,GDMS,AeroSpace and Defense
TJX,TJX,tjmaxx,Retail
ConocoPhillips,COP,conocophillips,Energy
Nike,NKE,Nike,Retail
World Fuel Services,INT,wfscorp,Energy
3M,MMM,3M,Industrials
Mondelez International,MDLZ,MDLZ,Food and Beverage
Exelon,EXC,Excelon,Energy
Twenty-First Century Fox,FOXA,21CF,Media
Deere,DE,JohnDeere,Industrials
Tesoro,TSO,tesorotec,Energy
Time Warner,TWX,WarnerMediaGrp,Media
